dataset,model,family,evaluation_strategy,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,baseline_f1_mean,baseline_f1_std,p_value,significant,direction,learning_rate,batch_size,epochs,optimizer,loss_function,class_weight_mode,tuning_profile,hardware,scenario,train_source,test_source,train_dataset,test_dataset,train_samples_raw,train_samples_after_smote,test_samples,positive_rate_train_raw,positive_rate_train_after_smote,positive_rate_test,feature_count,result_source
train_optimized_test_standard,cnn,deep_learning,cross-regime hold-out,0.34975681962359906,0.0,0.2329829967534254,0.0,0.7467372134038801,0.0,0.35515664975045086,0.0,0.3203682393555811,0.0,1.0,False,better_than_random,0.00025,96,24,Adam,binary_crossentropy,auto_if_imbalanced,smoke_data_driven,CPU,train_optimized_test_standard,optimized,standard,hrss_anomalous_optimized,hrss_anomalous_standard,19634,30234,23645,0.230060099826831,0.5,0.23979699725100445,18,generalization_suite
train_standard_test_optimized,cnn,deep_learning,cross-regime hold-out,0.303555057553224,0.0,0.2001833540698055,0.0,0.6767766216515386,0.0,0.30897513644633107,0.0,0.31253894620231254,0.0,1.0,False,worse_than_random,0.00025,96,24,Adam,binary_crossentropy,auto_if_imbalanced,smoke_data_driven,CPU,train_standard_test_optimized,standard,optimized,hrss_anomalous_standard,hrss_anomalous_optimized,23645,35950,19634,0.23979699725100445,0.5,0.230060099826831,18,generalization_suite
