dataset,model,family,evaluation_strategy,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,baseline_f1_mean,baseline_f1_std,p_value,significant,direction,learning_rate,batch_size,epochs,optimizer,loss_function,class_weight_mode,tuning_profile,hardware,result_source
hrss_anomalous_standard,knn,classical_ml,5-fold cross-validation,0.8333262846267709,0.0046759230149580186,0.6763609764437405,0.014061142595829005,0.5853615520282187,0.011783628281121734,0.6274649459300871,0.009600911468800355,0.23639445453605984,0.011473166487022944,0.0625,False,better_than_random,N/A,N/A,N/A,N/A,distance_vote,N/A,N/A,CPU,knn
hrss_anomalous_standard,logistic_regression,classical_ml,5-fold cross-validation,0.7634172129414252,0.0007957237353447634,0.698440600936731,0.06371714797379016,0.024338624338624337,0.00400628454730178,0.046968413053326656,0.007384686323687406,0.23639445453605984,0.011473166487022944,0.0625,False,worse_than_random,N/A,N/A,N/A,N/A,log_loss,N/A,N/A,CPU,logistic_regression
hrss_anomalous_standard,naive_bayes,classical_ml,5-fold cross-validation,0.7362655952632692,0.004010856492122198,0.2966004920397204,0.012669644536454503,0.07213403880070547,0.006952523225547451,0.11577623246132766,0.008417855840427925,0.23639445453605984,0.011473166487022944,0.0625,False,worse_than_random,N/A,N/A,N/A,N/A,gaussian_likelihood,N/A,N/A,CPU,naive_bayes
hrss_anomalous_standard,random_forest,classical_ml,5-fold cross-validation,0.9822795517022627,0.0021869627361129668,0.9634682846119512,0.004837508958656456,0.9626102292768959,0.005509876314572599,0.9630329880045533,0.004583557220752946,0.23639445453605984,0.011473166487022944,0.0625,False,better_than_random,N/A,N/A,N/A,N/A,gini,N/A,N/A,CPU,random_forest
hrss_anomalous_standard,svm,classical_ml,5-fold cross-validation,0.7630365827870584,0.001139538472007426,0.949089068825911,0.029692368906161965,0.012522045855379188,0.004969665891924293,0.02466757091237948,0.009667445585890892,0.23639445453605984,0.011473166487022944,0.0625,False,worse_than_random,N/A,N/A,N/A,N/A,hinge,N/A,N/A,CPU,svm
hrss_anomalous_standard,autoencoder,deep_learning,hold-out,0.23979699725100445,0.0,0.23976029983858657,5.189797834537757e-05,0.9997060552616107,0.0004157006356181806,0.38676293404322,9.863499296285928e-05,0.25241703754862527,0.015328537298554025,0.25,False,better_than_random,0.0004,64,100,Adam,mse,normal_only,formal_data_driven_v2,CPU,autoencoder
hrss_anomalous_standard,cnn,deep_learning,hold-out,0.5418340734475224,0.05445726865262095,0.32249133065470414,0.019268991153665888,0.8083480305702527,0.06824710666668361,0.4592174312955157,0.010444832140802997,0.25241703754862527,0.015328537298554025,0.25,False,better_than_random,0.00025,64,120,Adam,binary_crossentropy,auto_if_imbalanced,formal_data_driven_v2,CPU,cnn
hrss_anomalous_standard,gru,deep_learning,hold-out,0.5717910763374922,0.018389425653480344,0.33185357881975824,0.007030812869066528,0.77336860670194,0.04249916419030642,0.46399662753125615,0.008680131658297665,0.25241703754862527,0.015328537298554025,0.25,False,better_than_random,0.00025,64,130,Adam,binary_crossentropy,auto_if_imbalanced,formal_data_driven_v2,CPU,gru
hrss_anomalous_standard,lstm,deep_learning,hold-out,0.5497991118629731,0.019076097291340948,0.32162831895855376,0.0076994626011569174,0.7886537330981774,0.02494550206852102,0.45667192997619005,0.005571228726859141,0.25241703754862527,0.015328537298554025,0.25,False,better_than_random,0.0003,64,120,Adam,binary_crossentropy,auto_if_imbalanced,formal_data_driven_v2,CPU,lstm
hrss_anomalous_standard,rnn,deep_learning,hold-out,0.5758088390780292,0.035126753732054476,0.33964300633080075,0.012850299393784357,0.8042328042328043,0.053100773253349554,0.4765401785858365,0.0040515636726902535,0.25241703754862527,0.015328537298554025,0.25,False,better_than_random,0.00035,64,100,Adam,binary_crossentropy,auto_if_imbalanced,formal_data_driven_v2,CPU,rnn
hrss_anomalous_standard,cnn_lstm_hybrid,hybrid,hold-out,0.5311905265383802,0.06034343305456051,0.319199212624365,0.020762258989968856,0.8221634332745444,0.0614393726456856,0.45814825436156065,0.014380634794204332,0.25241703754862527,0.015328537298554025,0.25,False,better_than_random,0.00025,64,130,Adam,binary_crossentropy,auto_if_imbalanced,formal_data_driven_v2,CPU,cnn_lstm_hybrid
hrss_anomalous_standard,encoder_decoder_transformer,transformer,hold-out,0.5561429477690844,0.03824389405810175,0.3271637752403009,0.015291115939815412,0.7960023515579072,0.05005180662592021,0.4628149937750226,0.012745571456422952,0.25241703754862527,0.015328537298554025,0.25,False,better_than_random,0.0003,64,140,Adam,binary_crossentropy,auto_if_imbalanced,formal_data_driven_v2,CPU,encoder_decoder_transformer
hrss_anomalous_standard,temporal_fusion_transformer,transformer,hold-out,0.5124409670825404,0.028402176860892817,0.31339088110986896,0.011088756498987638,0.8630217519106408,0.017700257751116503,0.4595291882284011,0.00940878636527349,0.25241703754862527,0.015328537298554025,0.25,False,better_than_random,0.00025,64,140,Adam,binary_crossentropy,auto_if_imbalanced,formal_data_driven_v2,CPU,temporal_fusion_transformer
hrss_anomalous_standard,vanilla_transformer,transformer,hold-out,0.5612885035595968,0.03360230128135722,0.32413939352370164,0.010522798296743865,0.757201646090535,0.05582009808064405,0.4529307052117688,0.004093752891428965,0.25241703754862527,0.015328537298554025,0.25,False,better_than_random,0.0002,64,150,Adam,binary_crossentropy,auto_if_imbalanced,formal_data_driven_v2,CPU,vanilla_transformer
hrss_smote_optimized,decision_tree,classical_ml,5-fold cross-validation,0.9794932856150911,0.0012419377911404537,0.9835274785214578,0.0012925838684895807,0.9753254589592665,0.0030385443321906845,0.9794053545990156,0.0012827343860458181,0.5012199589093645,0.004092038077362031,0.0625,False,better_than_random,N/A,N/A,N/A,N/A,gini,N/A,N/A,CPU,decision_tree
hrss_smote_optimized,knn,classical_ml,5-fold cross-validation,0.916087707707641,0.0030829388737403213,0.882500032747987,0.005276147530795497,0.9600447276348699,0.002447286268723984,0.919628687941447,0.0027183866878145086,0.5012199589093645,0.004092038077362031,0.0625,False,better_than_random,N/A,N/A,N/A,N/A,distance_vote,N/A,N/A,CPU,knn
hrss_smote_optimized,logistic_regression,classical_ml,5-fold cross-validation,0.6338558729581122,0.00756769177382878,0.6374470978596654,0.008522232184556052,0.6209558070664588,0.007163178594029219,0.6290769910659568,0.007161068728450076,0.5012199589093645,0.004092038077362031,0.0625,False,better_than_random,N/A,N/A,N/A,N/A,log_loss,N/A,N/A,CPU,logistic_regression
hrss_smote_optimized,naive_bayes,classical_ml,5-fold cross-validation,0.6240986568932599,0.0031510869888823336,0.6338343390957204,0.005509371098110641,0.5880795077247277,0.009239145482075023,0.610025039006916,0.0038975588901552726,0.5012199589093645,0.004092038077362031,0.0625,False,better_than_random,N/A,N/A,N/A,N/A,gaussian_likelihood,N/A,N/A,CPU,naive_bayes
hrss_smote_optimized,random_forest,classical_ml,5-fold cross-validation,0.9883905766063071,0.0008519698639363692,0.9866939546089585,0.002433738464676266,0.9901435773706696,0.0019330102423704336,0.988411578094077,0.0008402951608363277,0.5012199589093645,0.004092038077362031,0.0625,False,better_than_random,N/A,N/A,N/A,N/A,gini,N/A,N/A,CPU,random_forest
hrss_smote_optimized,svm,classical_ml,5-fold cross-validation,0.6339220816362904,0.0077255591274169805,0.6378573803921427,0.008799595829828703,0.6198313152952584,0.006484723642144749,0.6287015909219075,0.007105284734123883,0.5012199589093645,0.004092038077362031,0.0625,False,better_than_random,N/A,N/A,N/A,N/A,hinge,N/A,N/A,CPU,svm
hrss_smote_optimized,autoencoder,deep_learning,hold-out,0.5000826856292376,0.00023387027656242848,0.5000275892331136,0.00015595220592609305,1.0,0.0,0.6666911755677379,0.00013860889544061518,0.5021540239895551,0.0038315135032908794,0.25,False,better_than_random,0.0004,64,100,Adam,mse,normal_only,formal_data_driven_v2,CPU,autoencoder
hrss_smote_optimized,cnn,deep_learning,hold-out,0.7622512540653767,0.012853885237434129,0.708269639418051,0.014186934568323602,0.8926134934928628,0.003113095347897185,0.7897557728995039,0.009242448454340146,0.5021540239895551,0.0038315135032908794,0.25,False,better_than_random,0.00025,64,120,Adam,binary_crossentropy,auto_if_imbalanced,formal_data_driven_v2,CPU,cnn
hrss_smote_optimized,gru,deep_learning,hold-out,0.7370596990243096,0.017173150303617893,0.692467159857236,0.027635147276758962,0.8594303607673329,0.028703138427424266,0.7659491460913964,0.005702861691246496,0.5021540239895551,0.0038315135032908794,0.25,False,better_than_random,0.00025,64,130,Adam,binary_crossentropy,auto_if_imbalanced,formal_data_driven_v2,CPU,gru
hrss_smote_optimized,lstm,deep_learning,hold-out,0.6669974091836172,0.0053336325811904044,0.6242202286432378,0.008835338930669252,0.8415704466812638,0.03630750995023249,0.7162366200510615,0.008730107565101635,0.5021540239895551,0.0038315135032908794,0.25,False,better_than_random,0.0003,64,120,Adam,binary_crossentropy,auto_if_imbalanced,formal_data_driven_v2,CPU,lstm
hrss_smote_optimized,rnn,deep_learning,hold-out,0.7578413538393693,0.009023810531462612,0.7079502575361859,0.00647232845177646,0.8778411659931121,0.020010792515639964,0.7836953595508261,0.00958103432581414,0.5021540239895551,0.0038315135032908794,0.25,False,better_than_random,0.00035,64,100,Adam,binary_crossentropy,auto_if_imbalanced,formal_data_driven_v2,CPU,rnn
hrss_smote_optimized,cnn_lstm_hybrid,hybrid,hold-out,0.7932308031530787,0.029996946382895222,0.7466596853937285,0.03063961063696302,0.88941782897842,0.016053188370877436,0.8116898096632205,0.02468410562463351,0.5021540239895551,0.0038315135032908794,0.25,False,better_than_random,0.00025,64,130,Adam,binary_crossentropy,auto_if_imbalanced,formal_data_driven_v2,CPU,cnn_lstm_hybrid
hrss_smote_optimized,encoder_decoder_transformer,transformer,hold-out,0.7568491262885177,0.023049507993067764,0.7063575793850001,0.02739556313605597,0.8829093426003228,0.00987558451579971,0.7844197224569838,0.015247749913334245,0.5021540239895551,0.0038315135032908794,0.25,False,better_than_random,0.0003,64,140,Adam,binary_crossentropy,auto_if_imbalanced,formal_data_driven_v2,CPU,encoder_decoder_transformer
hrss_smote_optimized,temporal_fusion_transformer,transformer,hold-out,0.6777465409845101,0.005534929878644454,0.6280254026546843,0.0036118202712492283,0.8725517650978011,0.03713895453644358,0.7299770812655972,0.011404539659482214,0.5021540239895551,0.0038315135032908794,0.25,False,better_than_random,0.00025,64,140,Adam,binary_crossentropy,auto_if_imbalanced,formal_data_driven_v2,CPU,temporal_fusion_transformer
hrss_smote_optimized,vanilla_transformer,transformer,hold-out,0.7136321040736453,0.014333871749645555,0.6529422748847024,0.013781669442109278,0.913451093060201,0.0022590445500583725,0.7614324315412958,0.008673447642216324,0.5021540239895551,0.0038315135032908794,0.25,False,better_than_random,0.0002,64,150,Adam,binary_crossentropy,auto_if_imbalanced,formal_data_driven_v2,CPU,vanilla_transformer
hrss_smote_standard,decision_tree,classical_ml,5-fold cross-validation,0.9848400556328233,0.000576813389522322,0.987213357662772,0.0029734445753580438,0.9824200278164117,0.0022001357366659485,0.9848042458074027,0.0005517705476580109,0.49982622415586986,0.00849463711169823,0.0625,False,better_than_random,N/A,N/A,N/A,N/A,gini,N/A,N/A,CPU,decision_tree
hrss_smote_standard,knn,classical_ml,5-fold cross-validation,0.9120445062586926,0.0024227439875290032,0.8771275758222125,0.004579384272178033,0.9583866481223922,0.003979205505924373,0.9159430913485833,0.002179894909189421,0.49982622415586986,0.00849463711169823,0.0625,False,better_than_random,N/A,N/A,N/A,N/A,distance_vote,N/A,N/A,CPU,knn
hrss_smote_standard,logistic_regression,classical_ml,5-fold cross-validation,0.6263699582753824,0.006845098397297589,0.6169256707269003,0.006907116762164412,0.6669819193324061,0.009344658439974824,0.6409415790856103,0.006515002887142908,0.49982622415586986,0.00849463711169823,0.0625,False,better_than_random,N/A,N/A,N/A,N/A,log_loss,N/A,N/A,CPU,logistic_regression
hrss_smote_standard,naive_bayes,classical_ml,5-fold cross-validation,0.5884005563282336,0.00959267014998379,0.5837856044007005,0.01441533516957863,0.6209735744089013,0.026787421088470098,0.6011928483370547,0.00864945657560586,0.49982622415586986,0.00849463711169823,0.0625,False,better_than_random,N/A,N/A,N/A,N/A,gaussian_likelihood,N/A,N/A,CPU,naive_bayes
