dataset,model,family,evaluation_strategy,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,baseline_f1_mean,baseline_f1_std,p_value,significant,direction,learning_rate,batch_size,epochs,optimizer,loss_function,class_weight_mode,tuning_profile,hardware,scenario,train_source,test_source,train_dataset,test_dataset,train_samples_raw,train_samples_after_smote,test_samples,positive_rate_train_raw,positive_rate_train_after_smote,positive_rate_test,feature_count,result_source
train_optimized_test_standard,logistic_regression,classical_ml,cross-regime hold-out,0.5266652569253542,0.0,0.2411886014248219,0.0,0.45379188712522045,0.0,0.3149712327090219,0.0,0.32184950135992746,0.0,1.0,False,worse_than_random,N/A,N/A,N/A,N/A,log_loss,N/A,N/A,CPU,train_optimized_test_standard,optimized,standard,hrss_anomalous_optimized,hrss_anomalous_standard,19634,30234,23645,0.230060099826831,0.5,0.23979699725100445,18,generalization_suite
train_standard_test_optimized,logistic_regression,classical_ml,cross-regime hold-out,0.5447692777834369,0.0,0.23542788749251944,0.0,0.4354660172680983,0.0,0.30562461155997517,0.0,0.3149726321624056,0.0,1.0,False,worse_than_random,N/A,N/A,N/A,N/A,log_loss,N/A,N/A,CPU,train_standard_test_optimized,standard,optimized,hrss_anomalous_standard,hrss_anomalous_optimized,23645,35950,19634,0.23979699725100445,0.5,0.230060099826831,18,generalization_suite
