dataset,model,family,evaluation_strategy,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,baseline_f1_mean,baseline_f1_std,p_value,significant,direction,learning_rate,batch_size,epochs,optimizer,loss_function,class_weight_mode,tuning_profile,hardware,scenario,standard_optimized_feature,train_samples_raw,train_samples_after_smote,test_samples,positive_rate_train_raw,positive_rate_train_after_smote,positive_rate_test,feature_count,result_source
with_standard_optimized,cnn,deep_learning,single 70/30 hold-out,0.4708102279728897,0.0,0.2938951917882226,0.0,0.8900523560209425,0.0,0.44188124441556337,0.0,0.31377045762535183,0.0,1.0,False,better_than_random,0.00025,96,24,Adam,binary_crossentropy,auto_if_imbalanced,smoke_data_driven,CPU,with_standard_optimized,included,30295,46328,12984,0.23538537712493812,0.5,0.23536660505237214,19,generalization_suite
without_standard_optimized,cnn,deep_learning,single 70/30 hold-out,0.5278804682686383,0.0,0.31667461832061067,0.0,0.868782722513089,0.0,0.4641608391608391,0.0,0.31377045762535183,0.0,1.0,False,better_than_random,0.00025,96,24,Adam,binary_crossentropy,auto_if_imbalanced,smoke_data_driven,CPU,without_standard_optimized,excluded,30295,46328,12984,0.23538537712493812,0.5,0.23536660505237214,18,generalization_suite
