dataset,model,family,evaluation_strategy,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,baseline_f1_mean,baseline_f1_std,p_value,significant,direction,learning_rate,batch_size,epochs,optimizer,loss_function,class_weight_mode,tuning_profile,hardware,scenario,mode_feature,train_samples_raw,train_samples_after_smote,test_samples,positive_rate_train_raw,positive_rate_train_after_smote,positive_rate_test,feature_count,result_source
generalization_with_mode,logistic_regression,classical_ml,single 70/30 hold-out,0.585335797905114,0.0,0.3119547657512116,0.0,0.631871727748691,0.0,0.41769413800562405,0.0,0.31876820640865583,0.0,1.0,False,better_than_random,N/A,N/A,N/A,N/A,log_loss,N/A,N/A,CPU,generalization_with_mode,included,30295,46328,12984,0.23538537712493812,0.5,0.23536660505237214,19,generalization_suite
generalization_without_mode,logistic_regression,classical_ml,single 70/30 hold-out,0.5874922982131855,0.0,0.31312967175820605,0.0,0.6305628272251309,0.0,0.41845819761129205,0.0,0.31876820640865583,0.0,1.0,False,better_than_random,N/A,N/A,N/A,N/A,log_loss,N/A,N/A,CPU,generalization_without_mode,excluded,30295,46328,12984,0.23538537712493812,0.5,0.23536660505237214,18,generalization_suite
